id	nom	quantite	unite	points	categorie_id	zero_point
61	Laitue iceberg	1	portion	0	8	1
62	Lambi	1	portion	0	5	1
63	Langouste (décortiquée)	1	portion	0	5	1
64	Langoustine (décortiquée)	1	portion	0	5	1
65	Macédoine de légumes nature	1	portion	0	8	1
66	Mâcre (châtaignes d'eau)	1	portion	0	7	1
67	Maïs	1	portion	0	8	1
68	Mandarine	1	portion	0	7	1
69	Mangoustan	1	portion	0	7	1
70	Mangue	1	portion	0	7	1
71	Maquereau	1	portion	0	5	1
72	Maracuja	1	portion	0	7	1
73	Melon	1	portion	0	7	1
74	Navet	1	portion	0	8	1
75	Nectarine	1	portion	0	7	1
76	OEuf d’oie entier	1	portion	0	12	1
77	OEuf de caille	1	portion	0	12	1
78	OEuf de cane	1	portion	0	12	1
79	OEuf de poule entier	1	portion	0	12	1
80	Palourde (décoquillée)	1	portion	0	5	1
81	Pamplemousse	1	portion	0	7	1
82	Panais	1	portion	0	8	1
83	Panga	1	portion	0	5	1
84	Papaye	1	portion	0	7	1
85	Pastèque	1	portion	0	7	1
86	Pâtisson	1	portion	0	8	1
87	Pêche	1	portion	0	7	1
88	Perche	1	portion	0	5	1
89	Petits pois	1	portion	0	8	1
90	Petits pois / carottes	1	portion	0	8	1
91	Radis	1	portion	0	8	1
92	Radis noir	1	portion	0	8	1
93	Raie	1	portion	0	5	1
94	Raisin	1	portion	0	7	1
95	Ramboutan	1	portion	0	7	1
96	Sabre	1	portion	0	5	1
97	Saint-Pierre	1	portion	0	5	1
98	Salade de fruits frais Sans sucres ajoutés	1	portion	0	6	1
99	Salicorne (Salicornia sp.), fraîche	1	portion	0	8	1
100	Salsifis	1	portion	0	8	1
101	Sandre	1	portion	0	5	1
102	Sardine fraîche	1	portion	0	5	1
103	Tacaud	1	portion	0	5	1
104	Tanche	1	portion	0	5	1
105	Tangerine	1	portion	0	7	1
106	Tétragone cornue	1	portion	0	8	1
107	Thon en conserve au naturel	1	portion	0	5	1
108	Vivaneau	1	portion	0	5	1
109	Yaourt 0% nature	1	portion	0	11	1
110	Yaourt au lait de brebis 0% nature	1	portion	0	11	1
111	Ananas	1	portion	0	7	1
112	Anchois	1	portion	0	5	1
113	Anguille	1	portion	0	5	1
114	Anguille fumée	1	portion	0	5	1
115	Artichaut	1	portion	0	8	1
116	Bigorneaux (décoquillés)	1	portion	0	5	1
117	Blanc d’oeuf	1	portion	0	12	1
118	Blette	1	portion	0	8	1
119	Bolets	1	portion	0	8	1
